,Código IBGE do Município,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome das Grandes Regiões,Código IBGE da Mesoregião,Nome da Mesoregião,Código IBGE da Microregião,Nome da Microregião,Área da unidade territorial,Estabelecimentos de Saúde SUS,Índice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010),Matrícula - Ensino fundamental - 2012,Matrícula - Ensino médio - 2012,Número de unidades locais,Pessoal ocupado total,PIB per capita a preços correntes,População residente,População residente - Homens,População residente - Mulheres,População residente alfabetizada,População residente que frequentava creche ou escola,"População residente, religião católica apostólica romana","População residente, religião espírita","População residente, religião evangélicas",Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Rural,Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Urbana,"Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Rural","Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Urbana"
0,230010,23,CE,Nordeste,2307,Sul Cearense,23033,Brejo Santo,178.83,6,0.628,1429,412,87,878,3429.72,10496,5210,5286,7039,3379,9751,.,656,180,204.0,889.05,862.19
1,230015,23,CE,Nordeste,2302,Norte Cearense,23013,BaturitÚ,155.684,14,0.606,2111,377,175,1941,4454.17,15338,7571,7767,11147,4602,10612,52,3384,204,237.13,869.43,1066.93
2,230020,23,CE,Nordeste,2301,Noroeste Cearense,23001,Litoral de Camocim e Acara·,842.559,24,0.601,10610,2672,591,3721,5378.51,57551,29102,28449,38544,19201,47630,59,7537,128.4,196.67,721.53,1302.99
3,230030,23,CE,Nordeste,2304,Sert§es Cearenses,23021,SertÒo de Senador Pompeu,2265.349,21,0.595,7649,1990,638,3169,4025.94,51160,25624,25536,32346,16054,46001,12,3726,125.25,255.0,606.82,1216.29
4,230040,23,CE,Nordeste,2304,Sert§es Cearenses,23020,SertÒo de Inhamuns,2434.423,7,0.569,2701,554,129,651,3347.78,16203,8117,8086,10190,5354,14995,.,939,116.67,280.0,661.84,1014.06
5,230050,23,CE,Nordeste,2301,Noroeste Cearense,23004,Meruoca,138.605,7,0.6,1986,461,67,945,3506.59,10771,5314,5457,7371,3832,10205,.,357,177.5,300.0,780.08,1233.82
6,230060,23,CE,Nordeste,2307,Sul Cearense,23030,Caririaþu,73.296,9,0.602,1242,373,68,637,3590.4,6856,3317,3539,4496,2352,6364,14,377,107.33,200.0,651.76,861.05
7,230070,23,CE,Nordeste,2305,Jaguaribe,23023,Baixo Jaguaribe,1338.205,12,0.601,2330,520,257,1442,4712.45,16359,8217,8142,10781,4987,14798,92,912,161.25,298.67,715.87,1215.86
8,230075,23,CE,Nordeste,2302,Norte Cearense,23008,Itapipoca,1179.038,13,0.606,7547,2628,321,2609,4669.02,39232,20356,18876,26334,14822,32439,.,5260,85.4,216.67,574.36,1035.8
9,230080,23,CE,Nordeste,2306,Centro-Sul Cearense,23027,Vßrzea Alegre,260.104,4,0.599,1463,314,128,579,4058.28,6984,3344,3640,4482,2383,6392,6,378,127.5,250.0,599.92,945.82
10,230090,23,CE,Nordeste,2302,Norte Cearense,23011,MÚdio Curu,545.158,17,0.618,2118,792,168,903,3756.2,13925,7072,6853,9535,4850,13028,43,744,136.67,238.83,660.47,1042.07
11,230100,23,CE,Nordeste,2303,Metropolitana de Fortaleza,23016,Fortaleza,482.573,46,0.641,11886,3211,1166,14422,9395.2,72628,37130,35498,53489,21656,54173,224,11987,190,263.25,794.28,1334.4
12,230110,23,CE,Nordeste,2305,Jaguaribe,23022,Litoral de Aracati,1228.058,73,0.655,10333,3705,1269,10444,8108.85,69159,34147,35012,50869,20802,54901,599,10396,176,300.0,788.42,1482.96
13,230120,23,CE,Nordeste,2302,Norte Cearense,23013,BaturitÚ,656.597,17,0.615,4389,1212,345,2217,4226.87,25391,12788,12603,16778,8017,22238,.,2497,161.56,240.71,785.28,1027.86
14,230125,23,CE,Nordeste,2304,Sert§es Cearenses,23018,SertÒo de CratÚus,344.131,5,0.59,1916,455,239,764,3705.4,10491,5180,5311,6494,3250,9316,5,688,143.33,200.0,614.46,806.54
15,230130,23,CE,Nordeste,2307,Sul Cearense,23029,Chapada do Araripe,1099.933,14,0.564,4503,687,231,1173,4312.58,20685,10292,10393,13010,7372,19177,.,1183,95.25,186.67,574.88,824.5
16,230140,23,CE,Nordeste,2302,Norte Cearense,23013,BaturitÚ,114.785,12,0.622,2508,731,124,1169,5246.55,11529,5823,5706,8196,4278,9873,6,1466,170,253.33,775.42,1069.78
